#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 02 11 08 56  2.5  1.8 11.8  1.7  9.9 NNE   N      SWELL  8.2  18
2024 02 11 08 26  2.3  1.7 13.3  1.6  9.9 NNE   N      SWELL  7.8  18
2024 02 11 07 56  2.2  1.7 12.5  1.5  9.9 NNE   N      SWELL  8.1  14
2024 02 11 07 26  2.3  1.7 12.5  1.6  9.1   N   N      SWELL  7.9  10
2024 02 11 06 56  2.2  1.7 14.3  1.5  9.9 NNE   N      SWELL  8.2  14
2024 02 11 06 26  2.3  1.8 11.8  1.5  9.9   N   N      SWELL  8.2  11
2024 02 11 05 56  2.4  1.8 13.3  1.6  9.9   N   N      SWELL  7.9  10
2024 02 11 05 26  2.3  1.7 13.3  1.6  9.9 NNE NNE      SWELL  7.8  15
2024 02 11 04 56  2.3  1.7 11.1  1.6  9.9   N   N      SWELL  7.7  11
2024 02 11 04 26  2.3  1.7 13.3  1.6  9.1   N   N      SWELL  7.6   8
2024 02 11 03 56  2.3  1.7 13.3  1.6  9.9 NNE   N      SWELL  7.4  15
2024 02 11 03 26  2.3  1.7 13.3  1.6  9.9 NNE   N      SWELL  7.8  18
2024 02 11 02 56  2.3  1.6 13.3  1.6  9.9 NNE NNE      SWELL  7.4  15
2024 02 11 02 26  2.3  1.7 12.5  1.6  9.9 NNE NNE      SWELL  7.7  18
2024 02 11 01 56  2.2  1.5 11.1  1.6  9.1   N NNE    AVERAGE  7.2   4
2024 02 11 01 26  2.2  1.5 12.5  1.7  9.9   N   N    AVERAGE  7.2   8
2024 02 11 00 56  2.2  1.5 12.5  1.6  9.9   N   N    AVERAGE  7.2  10
2024 02 11 00 26  2.2  1.6 12.5  1.6  9.1   N   N      SWELL  7.6  11
2024 02 10 23 56  2.3  1.7 11.1  1.6  9.9 NNE   N      SWELL  7.8  21
2024 02 10 23 26  2.4  1.8 12.5  1.6  9.9 NNE   N      SWELL  8.0  14
2024 02 10 22 56  2.2  1.6 12.5  1.6  9.9 NNE NNE      SWELL  7.7  17
2024 02 10 22 26  2.2  1.6 12.5  1.6  9.9 NNE NNE      SWELL  7.7  21
