0	 0	 0	 -0.21	 -0	 0	 -0
0.01	 6.11842e-11	 -1.90605e-17	 -0.210115	 180	 180	 -180
0.02	 1.85392e-08	 -8.70933e-18	 -0.235343	 180	 180	 -180
0.03	 4.29368e-08	 -1.13086e-17	 -0.247208	 180	 180	 -180
0.04	 5.91985e-08	 -1.42262e-17	 -0.25329	 180	 180	 -180
0.05	 7.41266e-08	 -1.49141e-17	 -0.25952	 180	 180	 -180
0.06	 9.44493e-08	 -1.36905e-17	 -0.269323	 180	 180	 -180
0.07	 1.2182e-07	 -1.23185e-17	 -0.28178	 180	 180	 -180
0.08	 1.5369e-07	 -1.17751e-17	 -0.294636	 180	 180	 -180
0.09	 1.87551e-07	 -1.1797e-17	 -0.30698	 180	 180	 -180
0.1	 2.23342e-07	 -1.17395e-17	 -0.319394	 180	 180	 -180
0.11	 2.62419e-07	 -1.13389e-17	 -0.332712	 180	 180	 -180
0.12	 3.05776e-07	 -1.07567e-17	 -0.34717	 180	 180	 -180
0.13	 3.53502e-07	 -1.02264e-17	 -0.362509	 180	 180	 -180
0.14	 4.05375e-07	 -9.81289e-18	 -0.378459	 180	 179.999	 -180
0.15	 4.61516e-07	 -9.4409e-18	 -0.394991	 180	 179.999	 -180
0.16	 5.22501e-07	 -9.03267e-18	 -0.412225	 180	 179.999	 -180
0.17	 5.89051e-07	 -8.5789e-18	 -0.430255	 180	 179.999	 -180
0.18	 6.618e-07	 -8.11372e-18	 -0.449078	 180	 179.999	 -180
0.19	 7.41283e-07	 -7.66382e-18	 -0.468647	 180	 179.999	 -180
0.2	 8.28051e-07	 -7.22944e-18	 -0.488933	 180	 179.999	 -180
0.21	 9.22729e-07	 -6.7981e-18	 -0.509937	 180	 179.999	 -180
0.22	 1.02598e-06	 -6.36263e-18	 -0.531674	 180	 179.999	 -180
0.23	 1.13841e-06	 -5.9254e-18	 -0.554146	 180	 179.999	 -180
0.24	 1.26058e-06	 -5.49196e-18	 -0.577342	 180	 179.999	 -180
0.25	 1.39296e-06	 -5.06497e-18	 -0.601249	 180	 179.999	 -180
0.26	 1.53596e-06	 -4.64368e-18	 -0.625858	 180	 179.999	 -180
0.27	 1.68993e-06	 -4.22663e-18	 -0.651163	 180	 179.999	 -180
0.28	 1.85514e-06	 -3.81354e-18	 -0.677156	 180	 179.999	 -180
0.29	 2.0318e-06	 -3.40525e-18	 -0.703831	 180	 179.999	 -180
0.3	 2.22001e-06	 -3.00257e-18	 -0.731176	 180	 179.998	 -180
0.31	 2.41984e-06	 -2.6058e-18	 -0.759182	 180	 179.998	 -180
0.32	 2.63127e-06	 -2.21481e-18	 -0.787838	 180	 179.998	 -180
0.33	 2.85425e-06	 -1.82952e-18	 -0.817136	 180	 179.998	 -180
0.34	 3.08872e-06	 -1.45002e-18	 -0.847066	 180	 179.998	 -180
0.35	 3.33454e-06	 -1.07649e-18	 -0.877616	 180	 179.998	 -180
0.36	 3.5916e-06	 -7.09045e-19	 -0.908778	 180	 179.998	 -180
0.37	 3.85978e-06	 -3.47701e-19	 -0.940541	 180	 179.998	 -180
0.38	 4.13894e-06	 7.55824e-21	 -0.972895	 180	 179.998	 -180
0.39	 4.42899e-06	 3.56742e-19	 -1.00583	 180	 179.998	 -180
0.4	 4.72981e-06	 6.99847e-19	 -1.03933	 180	 179.998	 -180
0.41	 5.04133e-06	 1.03687e-18	 -1.0734	 180	 179.998	 -180
0.42	 5.36347e-06	 1.36784e-18	 -1.10801	 180	 179.998	 -180
0.43	 5.69619e-06	 1.69279e-18	 -1.14317	 180	 179.997	 -180
0.44	 6.03942e-06	 2.01176e-18	 -1.17885	 180	 179.997	 -180
0.45	 6.39313e-06	 2.32479e-18	 -1.21505	 180	 179.997	 -180
0.46	 6.75725e-06	 2.63195e-18	 -1.25177	 180	 179.997	 -180
0.47	 7.13173e-06	 2.93327e-18	 -1.28898	 180	 179.997	 -180
0.48	 7.51647e-06	 3.22882e-18	 -1.32669	 180	 179.997	 -180
0.49	 7.91137e-06	 3.51867e-18	 -1.36487	 180	 179.997	 -180
0.5	 8.3163e-06	 3.80288e-18	 -1.40353	 180	 179.997	 -180
0.51	 8.73109e-06	 4.08152e-18	 -1.44265	 180	 179.997	 -180
0.52	 9.15552e-06	 4.35465e-18	 -1.48223	 180	 179.997	 -180
0.53	 9.58936e-06	 4.62237e-18	 -1.52225	 180	 179.997	 -180
0.54	 1.00323e-05	 4.88472e-18	 -1.5627	 180	 179.997	 -180
0.55	 1.04841e-05	 5.14181e-18	 -1.60358	 180	 179.997	 -180
0.56	 1.09444e-05	 5.39369e-18	 -1.64488	 180	 179.996	 -180
0.57	 1.14129e-05	 5.64045e-18	 -1.68659	 180	 179.996	 -180
0.58	 1.1889e-05	 5.88217e-18	 -1.7287	 180	 179.996	 -180
0.59	 1.23726e-05	 6.11892e-18	 -1.7712	 180	 179.996	 -180
0.6	 1.28631e-05	 6.35078e-18	 -1.81409	 180	 179.996	 -180
0.61	 1.33601e-05	 6.57784e-18	 -1.85735	 180	 179.996	 -180
0.62	 1.38633e-05	 6.80016e-18	 -1.90099	 180	 179.996	 -180
0.63	 1.43723e-05	 7.01784e-18	 -1.94498	 180	 179.996	 -180
0.64	 1.48867e-05	 7.23094e-18	 -1.98933	 180	 179.996	 -180
0.65	 1.54061e-05	 7.43955e-18	 -2.03402	 180	 179.996	 -180
0.66	 1.59302e-05	 7.64375e-18	 -2.07905	 180	 179.996	 -180
0.67	 1.64587e-05	 7.8436e-18	 -2.12442	 180	 179.996	 -180
